season,week,date,time_et,neutral,away,home,score_away,score_home,first_downs_away,first_downs_home,first_downs_from_passing_away,first_downs_from_passing_home,first_downs_from_rushing_away,first_downs_from_rushing_home,first_downs_from_penalty_away,first_downs_from_penalty_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,plays_away,plays_home,drives_away,drives_home,yards_away,yards_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,sacks_num_away,sacks_yards_away,sacks_num_home,sacks_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,redzone_comp_away,redzone_att_away,redzone_comp_home,redzone_att_home,fumbles_away,fumbles_home,interceptions_away,interceptions_home,def_st_td_away,def_st_td_home,possession_away,possession_home
2015,1,2015-09-13,1:00 PM,False,Packers,Bears,31,23,21,25,10,12,10,10,1,3,6,10,11,17,1,1,2,3,53,71,9,8,322,402,18,23,189,18,36,213,0,0,2,12,30,133,33,189,10,74,6,64,4,5,1,3,0,0,0,1,0,0,28:08,31:52
2015,2,2015-09-20,8:30 PM,False,Seahawks,Packers,17,27,21,21,12,11,8,7,1,3,3,9,4,11,0,0,0,0,57,64,11,11,324,361,19,30,205,25,33,234,2,1,2,15,25,119,29,127,6,92,6,35,2,2,1,3,1,1,1,0,0,0,26:42,33:18
2015,3,2015-09-28,8:30 PM,False,Chiefs,Packers,28,38,23,26,13,15,6,6,4,5,2,10,4,11,2,2,0,1,65,68,13,12,326,448,24,40,251,24,35,325,7,39,1,8,18,75,32,123,7,38,12,89,4,4,4,5,0,0,1,0,0,0,26:30,33:30
2015,4,2015-10-04,4:25 PM,False,Packers,49ers,17,3,18,8,8,7,9,1,1,0,5,15,4,13,2,2,0,1,68,50,10,10,362,196,22,32,200,13,25,119,3,24,6,41,33,162,19,77,8,65,4,30,2,4,0,2,0,0,0,1,0,0,36:34,23:26
2015,5,2015-10-11,1:00 PM,False,Rams,Packers,10,24,17,14,8,9,8,4,1,1,5,18,4,13,1,1,0,1,70,59,13,13,334,322,12,31,143,19,30,236,3,18,2,5,36,191,27,86,8,40,7,67,1,4,0,1,0,1,4,2,0,2,33:43,26:17
2015,6,2015-10-18,4:25 PM,False,Chargers,Packers,20,27,32,17,26,11,4,3,2,3,9,18,3,9,1,3,0,0,89,49,10,10,548,370,43,65,488,16,29,237,3,15,3,18,21,60,17,133,9,76,6,50,2,6,2,4,1,0,0,0,0,0,37:59,22:01
2015,8,2015-11-01,8:30 PM,False,Packers,Broncos,10,29,14,24,3,15,7,9,4,0,2,8,6,12,0,0,0,0,46,63,9,9,140,500,14,22,50,21,29,340,3,27,0,0,21,90,34,160,2,15,11,93,1,1,2,3,0,0,0,1,0,0,26:33,33:27
2015,9,2015-11-08,1:00 PM,False,Packers,Panthers,29,37,21,20,16,10,3,9,2,1,3,14,5,15,2,3,0,0,72,66,16,15,402,427,25,48,331,15,30,297,5,38,0,0,19,71,36,130,7,87,6,45,2,3,3,5,1,0,1,1,0,0,27:48,32:12
2015,10,2015-11-15,1:00 PM,False,Lions,Packers,18,16,16,22,13,17,2,3,1,2,5,16,9,19,1,1,0,0,64,82,12,14,287,372,24,38,242,35,61,325,0,0,3,8,26,45,18,47,3,35,5,55,2,2,2,2,0,0,1,0,0,0,30:40,29:20
2015,11,2015-11-22,4:25 PM,False,Packers,Vikings,30,13,19,16,10,11,6,5,3,0,6,16,5,13,0,0,0,2,70,62,12,12,320,342,16,34,196,25,38,248,2,16,6,48,34,124,18,94,4,19,8,110,1,2,1,1,0,1,0,0,0,0,30:22,29:38
